index	*ID	set	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Bul-Kathos' Sacred Charge	115	Bul-Kathos' Children		1					7gd	Colossus Blade	40	50	64	dgrn	dgrn						5	5000		crush		35	35	res-all		10	20	swing2		20	20	dmg%		200	250	manasteal		5	5	dex		20	30	stupidity		1	1																																																		0
Bul-Kathos' Tribal Guardian	116	Bul-Kathos' Children		1					7fb	Colossus Sword	40	50	64	dgrn	dgrn						5	5000		res-all		10	20	hit-skill	Poison Nova	20	10	swing2		20	20	str		20	30	dmg%		200	250	lifesteal		5	5	openwounds		15	15																																																		0
Cow King's Horns	117	Cow King's Leathers		1					xap	War Hat	7	20	22	blac	blac						5	5000	2	red-dmg%		5	10	half-freeze		1	1	dmg-to-mana		35	35	str		25	25	dur		35	35																																																										0
Cow King's Hide	118	Cow King's Leathers		1					xtu	Trellised Armor	7	20	22	blac	blac						5	5000	2	res-ltng		75	75	ac%		200	200	hp		100	100	gethit-skill	38	100	20	move1		20	20	red-dmg%		10	10																					aura	123	1	1																														0
Cow King's Hoofs	119	Cow King's Leathers		1					xvb	Sharkskin Boots	7	20	22	blac	blac						5	5000	2	ac		25	35	move3		30	30	mag%		25	25	dex		20	20	dmg-ltng		1	450																																																										0
Naj's Puzzler	120	Naj's Ancient Set		1					6cs	Elder Staff	7	43	59								5	5000		enr		35	35	dmg%		150	150	oskill	teleport	1	1	cast3		30	30	dmg-ltng		6	45	mana		70	70	allskills		1	1																																																		0
Naj's Light Plate	121	Naj's Ancient Set		1					ult	Hellforge Plate	7	43	59								5	5000		ease		-60	-60	hp		65	65	res-all		25	25	dmg-to-mana		45	45	randclassskill2		0	6	ac		300	300	cast1		30	30																																																		0
Naj's Circlet	122	Naj's Ancient Set		1					ci0	Circlet	7	43	59								5	5000		mana		75	75	randclassskill3		0	6	str		15	15	cast1		30	30																																																														0
McAuley's Paragon	123	McAuley's Folly		1					cap	Cap	3	20	24	lpur	lpur						5	5000	2	mag%		35	35	nec		2	2	pierce		33	33																																																																		0
McAuley's Riprap	124	McAuley's Folly		1					vbt	Heavy Boots	7	20	24	lpur	lpur						5	5000	2	move3		40	40	res-fire		15	15	str		5	5	dex		10	10																																																														0
McAuley's Taboo	125	McAuley's Folly		1					vgl	Heavy Gloves	7	20	24	lpur	lpur						5	5000	2	cast1		10	10	mana-kill		3	3	hp		40	40	skill	67	2	2																																																														0
McAuley's Superstition	126	McAuley's Folly		1					bwn	Bone Wand	7	20	24	lpur	lpur						5	5000	2	cast1		45	45	skill	78	2	2	skill	84	2	2	skill	88	2	2	mana		50	50																													aura	Meditation	1	1																										0
Warlord's Conquest	127	Warlord's Glory		1					hgl	Gauntlets	7	100	1	lgld	lgld						5	5000	2	str		15	15	att		45	45																													swing3		20	20																																						0
Warlord's Lust	128	Warlord's Glory		1					ghm	Great Helm	7	100	1	dgld	lgld						5	5000	2	hp		30	30	ac		15	15																													att	25			ac/lvl	16																																				0
Warlord's Mantle	129	Warlord's Glory		1					ful	Full Plate Mail	7	100	1	lgld	lgld						5	5000	2	ac%		25	25	res-cold		30	30																													mana		20	20																																						0
Warlord's Crushers	130	Warlord's Glory		1					hbt	Greaves	7	100	1	lgld	lgld						5	5000	2	move2		20	20	res-fire		20	20																													mag%		75	75																																						0
Warlord's Authority	131	Warlord's Glory		1					hbl	Plated Belt	7	100	1	lgld	lgld						5	5000	2	res-ltng		20	20	hp		25	25																													att/lvl	16																																								0
Bane's Oathmaker	132	Bane's Garments		1					kri	Kriss	7	7	8			invdgr					5	2500	2	move1		20	20	dmg/lvl	8																															mana-kill		3	3					deadly		30	30																														0
Bane's Wraithskin	133	Bane's Garments		1					hla	Hard Leather Armor	7	7	8	dred	dred						5	2500	2	ac		50	50	res-mag		30	30																													balance1		25	25					att/lvl	16																																0
Bane's Authority	134	Bane's Garments		1					vbl	Light Belt	7	7	8	dred	dred						5	2500	2	cast1		10	10	hp		20	20																																					enr		15	15																														0
Horazon's Countenance	135	Horazon's Splendor		1					usk	Demonhead	7	40	62			invmsk					5	5000	2	att%/lvl	2			war		1	1	str		10	20	red-mag		7	10																					hp%		5	5													str		15	15																						0
Horazon's Dominion	136	Horazon's Splendor		1					xpl	Russet Armor	7	40	55								5	5000	2	skilltab	21	2	2	ac%		75	100	mana		75	100	res-cold		15	25	res-fire		15	25	res-ltng		15	25													res-pois		25	25													vit		15	15													red-dmg%		15	15						0
Horazon's Hold	137	Horazon's Splendor		1					xlg	Demonhide Gloves	7	40	48								5	5000	2	crush		10	10	att		95	150	dex		10	15	dmg-fire		140	270	hp		30	40																	swing1		30	30					manasteal		7	7					lifesteal		7	7																						0
Horazon's Legacy	138	Horazon's Splendor		1					utb	Mirrored Boots	7	40	67								5	5000	2	move1		30	30	str		10	15	dex		10	15	res-mag		20	30	nofreeze		1	1	ease		-30	-30													move2		10	10																																						0
Horazon's Secrets	139	Horazon's Splendor		1					wad	Occult Codex	7	40	57			invbbb					5	5000	2	skilltab	22	2	2	balance1		30	30	block		20	20	vit		20	30	hp		30	50																	res-pois-len		75	75					pierce-fire		25	25					enr		15	15																						0
Nadin's Determination	140	Nadin's Winning Strategy		1					amu	amulet	5	85	90								5	5000		randclassskill3		0	6	cast2		10	10	res-all		10	10	mana-kill		3	3																																																														0
Nadin's Passion	141	Nadin's Winning Strategy		1					rin	ring	5	85	90								5	5000		randclassskill3		0	6	manasteal		5	5	lifesteal		5	5	heal-kill		3	3	all-stats		5	5																																																										0
Astral Bond	142	Sanctuary's Blessing Caster		1					7s8	thresher	4	85	85	whit	whit						5	5000		allskills		3	4	ease		-100	-100	cast2		65	75	res-pois-len		100	100	aura	meditation	15	20	hp%		10	20	mana%		10	20	mana-kill		5	15																																														0
Hope Caster	143	Sanctuary's Blessing Caster		1					rin	ring	3	85	85	whit	whit						5	5000		hp		100	100	move2		10	20	cast2		10	10	red-mag		10	10	vit		10	20																																																										0
Despair Caster	144	Sanctuary's Blessing Caster		1					rin	ring	3	85	85	whit	whit						5	5000		mana		100	100	balance		10	10	ac-miss		100	100	ac-hth		100	100	enr		10	30	red-dmg		10	10																																																						0
Equilibrium Caster	145	Sanctuary's Blessing Caster		1					amu	amulet	3	85	85	whit	whit						5	5000		allskills		1	2	res-mag		25	25	all-stats		10	20	cast2		15	15	res-all		-20	-20																																																										0
The Decimation	146	Sanctuary's Blessing Melee		1					7s8	thresher	5	85	85	blac	blac						5	5000		allskills		3	4	swing2		50	50	balance2		25	35	red-dmg%		3	10	dmg%		220	280	aura	concentration	10	15	hp%		5	20	att-skill	Amplify Damage	22	20																																														0
Hope Melee	147	Sanctuary's Blessing Melee		1					rin	ring	3	85	85	blac	blac						5	5000		hp		100	100	move2		10	20	swing2		10	10	red-mag		10	10	vit		10	20																																																										0
Despair Melee	148	Sanctuary's Blessing Melee		1					rin	ring	3	85	85	blac	blac						5	5000		mana		100	100	balance		10	10	ac-miss		100	100	ac-hth		100	100	enr		10	30	red-dmg		10	10																																																						0
Equilibrium Melee	149	Sanctuary's Blessing Melee		1					amu	amulet	3	85	85	blac	blac						5	5000		allskills		1	2	res-mag		25	25	all-stats		10	20	cast		15	15	res-all		-20	-20																																																										0
Ying	150	The Ascension		1					rin	ring	1	85	95	lgld	lgld						5	5000		res-all		10	20	str%		1	10	dex%		1	10																																																																		0
Yang	151	The Ascension		1					rin	ring	1	85	95	lgld	lgld						5	5000		hp%		1	10	mana%		1	10	heal-kill		5	20	mana-kill	5	20																																																															0
Inner Peace	152	The Ascension		1					amu	amulet	1	85	95	lgld	lgld						5	5000		allskills		2	2	cast2		20	20	regen		5	20																																																																		0
Demigod	153	The Ascension		1					uhc	colossus girdle	1	85	95	lgld	lgld						5	5000		allskills		1	1	cast2		20	26	all-stats		10	15	red-dmg%		10	15	ease		-100	-100	ac		100	150																																																						0
Demigod Replica	154	Fake Ascension		1					uhc	colossus girdle	10	85	95	lgld	lgld						5	5000		allskills		1	1	cast2		10	10	all-stats		5	5	red-dmg%		5	5	ease		-100	-100	ac		200	300																																																						0
Sigurd's Grip	155	Sigurds Nobility		1					uhg	ogre gauntlets	1	85	85	lgry	lgry						5	5000		str%		50	50	swing2		30	30	deadly		10	20	att%		35	50	res-pois		35	50	ac		100	100	dmg-norm		75	100	ease		20	20																																														0
Sigurd's Deflector	156	Sigurds Nobility		1					uit	monarch	1	85	85	lgry	lgry						5	5000		block2		50	50	block		50	50	nofreeze		1	1	red-dmg%		5	20	ac%		100	150	aura	salvation	1	1																																																						0
Sigurd's Saveguard	157	Sigurds Nobility		1					umc	mithril coil	1	85	85	lgry	lgry						5	5000		red-dmg%		10	20	balance2		24	42	enr%		50	50	dmg-to-mana		10	15	ac		150	250																																																										0
Wicked Seduction	158	Humanity's End		1					utc	troll belt	10	85	85	blac	blac						5	5000		cast2		20	20	res-all		-30	-30	mana-kill		20	30	heal-kill		20	30	res-pois-len		50	50	ac%		66	66																																																						0
Underworlds Mirror	159	Humanity's End		1					ush	troll nest	1	85	85	blac	blac						5	5000		allskills		1	1	res-all		-40	-10	hp%		15	40	mana%		15	40	aura	conviction	1	3	ac		666	666																																																						0
Devil's Bargain	160	Humanity's End		1					uh9	bone visage	10	85	85	blac	blac						5	5000		cast2		20	26	allskills		1	1	ease		10	50	ac%		66	66	hp		1	66	mana		1	66																																																						0
Stolen Jewelry	161	Humanity's End		1					rin	ring	3	85	85								5	5000		mag%		20	30	res-all-max		1	3	vit%		10	15																																																																		0
Polished Safety	162	Royal Guard		1					uow	aegis	1	85	85	whit	whit						5	5000		red-dmg%		20	30	ac%		200	200	dex		10	30	res-cold		40	40	nofreeze		1	1	pierce-cold		3	5	ease		-50	-50	aura	holy freeze	12	15																																														0
Comfortable Mittens	163	Royal Guard		1					utg	crusader gauntlet	1	85	85	whit	whit						5	5000		ac%		50	100	enr		10	30	att%		100	100	res-pois		40	40	pierce		33	33					pierce-pois		3	5	dmg-demon		75	100	dmg-undead		75	100																																										0
High Authority	164	Royal Guard		1					uhm	spired helm	1	85	85	whit	whit						5	5000		ac%		150	150	str		10	30					res-ltng		40	40	gold%		200	200	pierce-ltng		3	5	aura	holy shock	10	16																																																		0
Warriors Heart	165	Royal Guard		1					utp	archon plate	1	85	85	whit	whit						5	5000		ac%		300	300	vit		10	30	res-fire		40	40	mag%		75	75	randclassskill1		0	6	balance2		50	50	pierce-fire		3	5	aura	holy fire	10	15																																														0
Journey's End	166	Royal Guard		1					utb	mirrored boots	1	85	85	whit	whit						5	5000		ac		42	42	move2		30	40	res-mag		30	55	allskills		1	1	pierce-mag		5	8	hit-skill	blessed hammer	25	55																																																						0
Natalya's Visage	167	Natalya's Vengeance		1					xh9	Grim Helm	1	87	85	dgry	dgry						5	5000	2	ass		2	2	swing2		25	25	cast2		25	25	res-all		20	30	all-stats		30	40	ac		270	350													lifesteal		20	20	manasteal		20	20																																		0
Natalya's Slayer	168	Natalya's Vengeance		1					7qr	Scissors Suwayyah	1	87	85	dgry	dgry						5	5000	2	ass		2	3	aura	fanaticism	9	9	swing2		40	40	cast2		40	40	dmg%		280	350	dmg-max		200	300	dmg		200	300	res-all		20	30	red-dmg%		10	20																																										0
Natalya's Scar	169	Natalya's Vengeance		1					7qr	Scissors Suwayyah	1	87	85	dgry	dgry						5	5000	2	ass		2	3	aura	thorns	12	12	swing2		40	40	cast2		40	40	pierce-fire		3	5	pierce-ltng		3	5	pierce-cold		3	5	res-all		20	30	red-dmg%		10	20																																										0
Natalya's Embrace	170	Natalya's Vengeance		1					ucl	Loricated Mail	1	87	85	dgry	dgry						5	5000	2	ass		3	3	move2		30	30	ac		700	800	hp%		10	20	res-all-max		2	5	res-all		15	30	extra-fire		10	15	extra-ltng		10	15	extra-cold		10	15									kick		125	125	slow		25	25																										0
Natalya's Footprints	171	Natalya's Vengeance		1					xmb	Mesh Boots	1	87	85	dgry	dgry						5	5000	2	move2		40	40	balance2		35	35	all-stats		10	20	res-all		10	20	pierce-pois		3	5	extra-pois		5	5	skill	venom	7	7																																																		0
Aldur's Icy Gaze	172	Aldur's Beacon		1					dr8	Hunter's Guise	1	87	85	oran	oran						5	5000	2	dru		2	2	dmg%		45	90	ac		500	500	res-all		15	25	skill	cyclone armor	7	7	extra-fire		5	10	pierce-fire		3	5	extra-cold		5	10	pierce-cold		3	5													hit-skill	Twister	25	60																										0
Aldur's Deceit	173	Aldur's Beacon		1					uul	Shadow Plate	1	87	85	oran	oran						5	5000	2	dru		3	3	swing2		20	20	cast2		20	20	extra-fire		10	15	pierce-fire		3	5	extra-cold		10	15	pierce-cold		3	5	ease		-60	-60	res-all		20	40	vit%		10	10	enr%		10	10	str%		10	10	dex%		10	10																										0
Aldur's Onslaught	174	Aldur's Beacon		1					9mt	Jagged Star	1	87	85	oran	oran						5	5000	2	dru		2	3	swing2		40	50	cast2		40	50	dmg%		300	350	dmg-max		200	300	att%		50	50	lifesteal		10	10	crush		35	35									pierce-fire		5	5	pierce-cold		5	5																														0
Aldur's Momentum	175	Aldur's Beacon		1					xtb	Battle Boots	1	87	85	oran	oran						5	5000	2	move2		50	50	dru		1	1	dmg%		25	50	hp%		5	5	res-all		10	20	mana%		5	5																																																						0
Immortal King's Triumph	176	Bul Katho's Embodiment		1					ba5	Avenger Guard	1	87	95	lgry	lgry						5	5000	2	bar		2	2	swing2		25	25	cast2		40	40	ac		750	750	all-stats		20	30	mag%		50	75																																																						0
Immortal King's Eternal Reign	177	Bul Katho's Embodiment		1					uar	Sacred Armor	1	87	95	lgry	lgry						5	5000	2	allskills		3	3	aura	defiance	10	10	res-all		30	40	nofreeze		1	1	vit%		35	35	manasteal		10	10	ac%		350	350	dmg%		300	300					skill	war cry	10	10	res-all-max		5	5																																		0
Immortal King's Tribal Binding	178	Bul Katho's Embodiment		1					zhb	War Belt	1	87	95	lgry	lgry						5	5000	2	red-dmg%		10	20	swing2		20	20	cast2		20	20	dmg%		40	75	res-all		10	20	vit%		3	5	str%		3	5	dex%		3	5	enr%		3	5																																										0
Immortal King's Irons	179	Bul Katho's Embodiment		1					xhg	War Gauntlets	1	87	95	lgry	lgry						5	5000	2	swing2		20	20	bar		1	3	cast2		20	20	crush		15	15	deadly		15	15	ac		400	400	red-dmg%		10	20	str%		3	5																																														0
Immortal King's Statue	180	Bul Katho's Embodiment		1					xhb	War Boots	1	87	95	lgry	lgry						5	5000	2	move2		40	40	res-all-max		1	3	res-all		10	20	res-mag		25	25	red-dmg%		10	15	balance2		40	40																																																						0
Immortal King's Savager	181	Bul Katho's Embodiment		1					7gd	Colossus Blade	1	87	95	lgry	lgry						5	5000	2	swing2		40	40	aura	fanaticism	9	9	bar		2	3	cast2		40	50	dmg%		200	300	dmg-max		100	200	dmg		100	200	att%		100	100	ignore-ac		1	1	att%		100	100	lifesteal		10	10	dmg%		100	100	all-stats		30	30																										0
Tal Rasha's Brace	182	Tal Rasha's Elements		1					zmb	Mesh Belt	1	87	85	dpur	dpur						5	5000	2	red-dmg%		5	10	sor		1	1	skill	meteor	1	3	cast2		20	20	pierce-fire		3	5	mana%		3	8	all-stats		5	10	mag%		25	50	mana-kill		3	7																																										0
Tal Rasha's Allegiance	183	Tal Rasha's Elements		1					amu	Amulet	1	87	99	dpur	dpur						5	5000	2	sor		2	3	mana		60	90	res-all-max		1	3	mana-kill		3	7	res-all		10	20	cast		10	15													allskills		1	1	mag%		75	75																																		0
Tal Rasha's Omniscience	184	Tal Rasha's Elements		1					oba	Swirling Crystal	1	87	85	dpur	dpur						5	5000	2	sor		3	3	cast2		40	40	skill	Lightning Mastery	2	3	skill	Fire Mastery	2	3	skill	Cold Mastery	2	3	hp		50	50	mana		50	50	oskill	evade	5	5																																														0
Tal Rasha's Exquisite Clothing	185	Tal Rasha's Elements		1					uth	Lacquered Plate	1	87	85	dpur	dpur						5	5000	2	sor		3	3	cast2		25	35	ac		777	777	pierce-ltng		10	15	red-dmg		15	30	red-mag		15	30	res-all		30	50	mag%		100	150	ease		-60	-60									cast2		30	30	res-all-max		5	5																										0
Tal Rasha's Wisdom	186	Tal Rasha's Elements		1					xsk	Death Mask	1	87	85	dpur	dpur						5	5000		sor		1	2	vit%		5	10	enr%		5	10	cast2		20	25	pierce-cold		3	5	skill	blizzard	1	3																																																						0
Griswold's Glory	187	Griswold's Masterwork		1					urn	Corona	1	87	85	dgld	dgld						5	5000	2	pal		2	2	aura	holy fire	15	18	hit-skill	blessed hammer	25	55	swing2		20	25	cast2		20	25	red-dmg%		5	10	ac%		150	300	att%		200	200	heal-kill		3	7	pierce-fire		8	8																																						0
Griswold's Heroism	188	Griswold's Masterwork		1					uar	Sacred Armor	1	87	85	dgld	dgld						5	5000	2	pal		3	3	aura	meditation	12	17					ac%		150	300	oskill	evade	5	5	res-all		15	30	str%		5	10	ern%		5	10	ease		-70	-70	pierce-mag		8	8																																						0
Griswolds's Vindication	189	Griswold's Masterwork		1					7ws	Caduceus	1	87	85	dgld	dgld						5	5000	2	pal		3	3	aura	holy shock	15	18	res-all-max		3	5	dmg%		300	400	dmg-max		200	300	cast2		30	30	swing2		30	30	all-stats		10	20	hit-skill	fist of the heavens	25	55									pierce-ltng		8	8																														0
Griswold's Pride	190	Griswold's Masterwork		1					paf	Vortex Shield	1	87	85	dgld	dgld						5	5000	2	pal		3	3	aura	holy freeze	15	18	ac%		300	300	swing2		30	30	cast2		30	30	block		40	40	block2		40	40	red-dmg		20	30	red-mag		20	30									nofreeze		1	1	pierce-cold		8	8																										0
Trang-Oul's True Guise	191	Trang-Oul's Incarnation		1					uh9	Bone Visage	1	87	85	dgld	dgld						5	5000	2	nec		2	2	swing2		20	25	cast2		20	25	ac		666	666	oskill	firegolem	7	7	oskill	golem mastery	7	7	pierce		67	67																	hit-skill	bone spear	50	55																														0
Trang-Oul's Heart	192	Trang-Oul's Incarnation		1					xul	Chaos Armor	1	87	85	dyel	dyel						5	5000	2	nec		3	3	pierce-pois		5	10	pierce-mag		5	10	extra-pois		10	15	extra-mag		10	15	vit		20	40	enr		20	40	res-all		15	30	ac%		333	333	skill	lower resist	7	7					skill	revive	7	7																														0
Trang-Oul's Appendage	193	Trang-Oul's Incarnation		1					ne9	Cantor Trophy	1	87	85	dyel	dyel						5	5000	2	nec		3	3	skill	teeth	7	7	kill-skill	teeth	35	60	pierce-mag		10	15	block		35	35	block2		35	35	cast2		35	35	enr%		5	10	res-mag		15	25	red-dmg		15	25																																						0
Trang-Oul's Sharp Claws	194	Trang-Oul's Incarnation		1					xmg	Heavy Bracers	1	87	85	dyel	dyel						5	5000	2	nec		1	3	pierce-pois		10	10	kill-skill	poison nova	15	55	cast2		20	20	swing2		20	20	red-dmg		10	15	hit-skill	bone spear	33	55	mana-kill		3	7					skill	bonespear	7	7																																						0
Trang-Oul's Binding	195	Trang-Oul's Incarnation		1					utc	Troll Belt	1	87	85	dyel	dyel						5	5000	2	red-dmg%		5	10	nofreeze		1	1	nec		1	1	swing2		20	20	cast2		20	20	pierce-mag		5	5	vit%		5	10	enr%		5	10					enr%		5	5	hp%		15	15																																		0
M'avina's Enlightenment	196	God of War M'avina		1					ci3	Diadem	1	87	85	whit	whit						5	5000	2	ama		2	2	ac		250	250	dex%		5	10	cast2		20	25	swing2		20	25	pierce-ltng		5	10	skill	Dodge	5	5	skill	Avoid	5	5	skill	Evade	5	5	red-dmg%		10	10																																						0
M'avina's Mobility	197	God of War M'avina		1					uld	Kraken Shell	1	87	85	whit	whit						5	5000	2	ama		3	3	move2		50	50	swing2		50	50	dmg%		200	200	ac%		250	300	res-all		15	30	red-dmg%		15	25	ease		-50	-50					pierce-ltng		20	20																																						0
M'avina's Guidance	198	God of War M'avina		1					xtg	Battle Gauntlets	1	87	85	whit	whit						5	5000	2	swing2		25	25	dmg%		50	75	ac		333	333	ac%		50	150	dex%		5	10	str%		5	10	gethit-skill	Slow Missiles	20	50	hp%		5	10					all-stats		20	20					pierce-ltng		20	20																														0
M'avina's Principle	199	God of War M'avina		1					zvb	Sharkskin Belt	1	87	85	whit	whit						5	5000	2	move2		25	25	ama		1	1	all-stats		3	8	manasteal		5	5	lifesteal		5	5	swing2		25	25	red-dmg%		5	10	res-all		10	20					balance2		35	35					dmg%		100	100																														0
M'avina's Piercing Truth	200	God of War M'avina		1					amf	Matriarchal Javelin	1	87	85	whit	whit						5	5000	2	ama		3	4	swing2		30	30	pierce		50	50	move2		30	30	dex%		10	20	dmg		200	300	dmg-max		100	100	kill-skill	lower resist	10	60					pierce-ltng		20	20					red-dmg%		10	10																														0
M'avina's Broken Weapon	201	M'avina's Disappointment		1					amf	Matriarchal Javelin	40	87	85	whit	whit						5	5000		allskills		1	2	swing2		15	15	move2		15	15	dmg%		100	200	dmg		100	100	dmg-max		100	100	kill-skill	Amplify Damage	50	25	manasteal		5	5																																														0
