Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
item_find_gold_bytime	292		1	22										4		0		22	0	22	0			6			item_goldbonus										180	18		ModStr1w	ModStr1w										0
item_find_magic_bytime	293		1	22										4		0		22	0	22	0			6			item_magicbonus										180	18		ModStr1x	ModStr1x										0
item_regenstamina_bytime	294		1	22										4		0		22	0	22	0			6			staminarecoverybonus										180	18		ModStr3v	ModStr3v										0
item_stamina_bytime	295		1	22										4		0		22	0	22	0			6			maxstamina										180	17		ModStr5d	ModStr5d										0
item_damage_demon_bytime	296		1	22										4		0		22	0	22	0			6			item_demondamage_percent					1					180	18		ModStr4e	ModStr4e										0
item_damage_undead_bytime	297		1	22										4		0		22	0	22	0			6			item_undeaddamage_percent					1					180	18		ModStr4f	ModStr4f										0
item_tohit_demon_bytime	298		1	22										4		0		22	0	22	0			6			item_demon_tohit					1					180	17		ModStr4j	ModStr4j										0
item_tohit_undead_bytime	299		1	22										4		0		22	0	22	0			6			item_undead_tohit					1					180	17		ModStr4k	ModStr4k										0
item_crushingblow_bytime	300		1	22										4		0		22	0	22	0			6			item_crushingblow					1					180	18		ModStr5c	ModStr5c										0
item_openwounds_bytime	301		1	22										4		0		22	0	22	0			6			item_openwounds					1					180	18		ModStr3m	ModStr3m										0
item_kick_damage_bytime	302		1	22										4		0		22	0	22	0			6			item_kickdamage					1					180	17		ModStr5e	ModStr5e										0
item_deadlystrike_bytime	303		1	22										4		0		22	0	22	0			6			item_deadlystrike					1					180	18		ModStr5q	ModStr5q										0
item_find_gems_bytime	304		1											4		0																																			0
item_pierce_cold	305		1	9											1432	513				8	50																88	19		Moditemenrescoldsk	Moditemenrescoldsk										0
item_pierce_fire	306		1	9											1240	497				8	50																88	19		Moditemenresfiresk	Moditemenresfiresk										0
item_pierce_ltng	307		1	9											1187	481				8	50																88	19		Moditemenresltngsk	Moditemenresltngsk										0
item_pierce_pois	308		1	9											1322	506				8	50																88	19		Moditemenrespoissk	Moditemenrespoissk										0
item_damage_vs_monster	309		1																													1																			0
item_damage_percent_vs_monster	310		1																													1																			0
item_tohit_vs_monster	311		1																													1																			0
item_tohit_percent_vs_monster	312		1																													1																			0
item_ac_vs_monster	313		1																																																0
item_ac_percent_vs_monster	314		1																																																0
firelength	315		1	16																																															0
burningmin	316		1	16																																															0
burningmax	317		1	16																																															0
progressive_damage	318		1	3																																															0
progressive_steal	319		1	3																																															0
progressive_other	320		1	3																																															0
progressive_fire	321		1	3																																															0
progressive_cold	322		1	3																																															0
progressive_lightning	323		1	3																																															0
item_extra_charges	324		1	6														6	0	6	0											1																			0
progressive_tohit	325		1	16																																															0
poison_count	326		1	5																												1																			0
damage_framerate	327		1	8																																															0
pierce_idx	328		1	6																																															0
passive_fire_mastery	329		1	12											1117	415		8	0	9	50																88	19		ModitemdamFiresk	ModitemdamFiresk									2	0
passive_ltng_mastery	330		1	12											1054	408		8	0	9	50																88	19		ModitemdamLtngsk	ModitemdamLtngsk									2	0
passive_cold_mastery	331		1	12											1295	379		8	0	9	50																88	19		ModitemdamColdsk	ModitemdamColdsk									2	0
passive_pois_mastery	332		1	12											978	394		8	0	9	50																88	19		ModitemdamPoissk	ModitemdamPoissk									2	0
passive_fire_pierce	333		1	9												2578		8	0	8	0																88	19		Moditemenresfiresk	Moditemenresfiresk									2	0
passive_ltng_pierce	334		1	9												2493		8	0	8	0																88	19		Moditemenresltngsk	Moditemenresltngsk									2	0
passive_cold_pierce	335		1	9												1984		8	0	8	0																88	19		Moditemenrescoldsk	Moditemenrescoldsk									2	0
passive_pois_pierce	336		1	9												2345		8	0	8	0																88	19		Moditemenrespoissk	Moditemenrespoissk									2	0
passive_critical_strike	337		1	9														8	0	8	0																														0
passive_dodge	338		1	9														7	0	7	0																														0
passive_avoid	339		1	9														7	0	7	0																														0
passive_evade	340		1	9														7	0	7	0																														0
passive_warmth	341		1	9														8	0	8	0																														0
passive_mastery_melee_th	342		1	11	16													8	0	8	0																														0
passive_mastery_melee_dmg	343		1	11	16													8	0	8	0																														0
passive_mastery_melee_crit	344		1	9	16													8	0	8	0																														0
passive_mastery_throw_th	345		1	11	16													8	0	8	0																														0
passive_mastery_throw_dmg	346		1	11	16													8	0	8	0																														0
passive_mastery_throw_crit	347		1	9	16													8	0	8	0																														0
passive_weaponblock	348		1	9	16													8	0	8	0																														0
passive_summon_resist	349		1	9														8	0	8	0																														0
modifierlist_skill	350			9																																															0
modifierlist_level	351			8																																															0
last_sent_hp_pct	352		1	8																																															0
source_unit_type	353			5																																															0
source_unit_id	354			32																																															0
shortparam1	355			16																																															0
questitemdifficulty	356																			2	0																														0
passive_mag_mastery	357		1	12											1211	431		8	0	9	50																														0
passive_mag_pierce	358		1	9												2812		8	0	8	0																														0
skill_cooldown	359			32	16																																														0
skill_missile_damage_scale	360			32	16																																														0
corrupted	361		1	10	10													22	0	10	1	3	0														254	3		StrCorrupted	StrCorrupted										0
corruptordesc	362		1	10	10													22	0	10	1	3	0																												0
augmented	363		1	10	10													22	0	10	1	3	0														255	3	2	StrAugmented	StrAugmented										0
dyewhite	364			3														22	1	10	1	3	0														256	3	 	dyewhite	dyewhite										0
dyeblack	365			3														3	1	3	1																256	3		dyeblack	dyeblack										0
dyecblue	366			3														3	1	3	1																256	3		dyecblue	dyecblue										0
dyecred	367			3														3	1	3	1																256	3		dyecred	dyecred										0
dyelightgreen	368			3														3	1	3	1																256	3		dyelightgreen	dyelightgreen										0
dyedarkyellow	369			3														3	1	3	1																256	3		dyedarkyellow	dyedarkyellow										0
dyelightpurple	370			3														3	1	3	1																256	3		dyelightpurple	dyelightpurple										0
dyedarkpurple	371			3														3	1	3	1																256	3		dyedarkpurple	dyedarkpurple										0
dyeorange	372			3														3	1	3	1																256	3		dyeorange	dyeorange										0
dyed	373			3														22	1	10	1	3	0														256	0		dyed	dyed										0
item_elemskill_cold	374		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	ModStrColdskills	ModStrColdskills										0
item_elemskill_fire	375		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	ModStrFireskills	ModStrFireskills										0
item_elemskill_lightning	376		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	ModStrLightningskills	ModStrLightningskills										0
item_elemskill_poison	377		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	ModStrPoisonskills	ModStrPoisonskills										0
item_elemskill_magic	378		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	ModStrMagicskills	ModStrMagicskills										0
