description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Magic Small Shield + Caster Crafting Tablet -> Caster Shield	1				100					2	shld,mag,noe	cct						usetype,crf		50	50	cast1			10	10	mana			10	20	block			20	20	allskills	100		1	1																																																																0
1 Magic Small Shield + Caster Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Caster Shield	1				100					4	shld,mag,noe	cct	r05	mls				usetype,crf		50	50	cast1			15	15	mana			10	20	block			20	20	ethereal	100		1	1	allskills	100		1	1																																																											0
1 Magic Small Shield + Caster Crafting Tablet -> Caster Shield	1				100					2	shld,mag,eth	cct						usetype,crf		50	50	cast1			15	15	mana			10	20	block			20	20	ethereal	100		1	1	allskills	100		1	1																																																											0
1 Magic Light Plate + Caster Crafting Tablet -> Caster Body	1				100					2	tors,mag,noe	cct						usetype,crf		50	50	cast1			20	20	mana			10	20	mana-kill			5	8																																																																					0
1 Magic Light Plate + Caster Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Caster Body	1				100					4	tors,mag,noe	cct	r05	mls				usetype,crf		50	50	cast1			20	20	mana			10	20	mana-kill			5	8	ethereal	100		1	1																																																																0
1 Magic Light Plate + Caster Crafting Tablet -> Caster Body	1				100					2	tors,mag,eth	cct						usetype,crf		50	50	cast1			20	20	mana			10	20	mana-kill			5	8	ethereal	100		1	1																																																																0
1 Magic Amulet + Caster Crafting Tablet -> Caster Amulet	1				100					2	amul,mag	cct						usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Magic Ring + Caster Crafting Tablet -> Caster Ring	1				100					2	ring,mag	cct						usetype,crf		50	50	mana-kill			1	2	mana			10	20	enr			5	10																																																																					0
1 Magic Rod + Caster Crafting Tablet -> Caster Weapon	1				100					2	weap,mag,noe	cct						usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20																																																																					0
1 Magic Rod + Caster Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Caster Weapon	1				100					4	weap,mag,noe	cct	r05	mls				usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20	ethereal	100		1	1																																																																0
1 Magic Rod + Caster Crafting Tablet -> Caster Weapon	1				100					2	weap,mag,eth	cct						usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20	ethereal	100		1	1																																																																0
1 Magic Crown + Saftey Crafting Tablet -> Safety Helm	1				100					2	helm,mag,noe	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-ltng			10	20	ac%			50	60																																																																0
1 Magic Crown + Saftey Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Safety Helm	1				100					4	helm,mag,noe	sct	r05	mls				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-ltng			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Crown + Saftey Crafting Tablet -> Safety Helm	1				100					2	helm,mag,eth	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-ltng			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Plated Boots + Saftey Crafting Tablet -> Safety Boots	1				100					2	boot,mag,noe	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-fire			10	20	ac%			50	60																																																																0
1 Magic Plated Boots + Saftey Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Safety Boots	1				100					4	boot,mag,noe	sct	r05	mls				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-fire			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Plated Boots + Saftey Crafting Tablet -> Safety Boots	1				100					2	boot,mag,eth	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-fire			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Gauntlets + Saftey Crafting Tablet -> Safety Gloves	1				100					2	glov,mag,noe	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-cold			10	20	ac%			10	30																																																																0
1 Magic Gauntlets + Saftey Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Safety Gloves	1				100					4	glov,mag,noe	sct	r05	mls				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-cold			10	20	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Gauntlets + Saftey Crafting Tablet -> Safety Gloves	1				100					2	glov,mag,eth	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-cold			10	20	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Sash + Saftey Crafting Tablet -> Safety Belt	1				100					2	belt,mag,noe	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30																																																																0
1 Magic Sash + Saftey Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Safety Belt	1				100					4	belt,mag,noe	sct	r05	mls				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Sash + Saftey Crafting Tablet -> Safety Belt	1				100					2	belt,mag,eth	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Kite Shield + Saftey Crafting Tablet -> Safety Shield	1				100					2	shld,mag,noe	sct						usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60																																																																					0
1 Magic Kite Shield + Saftey Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Safety Shield	1				100					4	shld,mag,noe	sct	r05	mls				usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60	ethereal	100		1	1																																																																0
1 Magic Kite Shield + Saftey Crafting Tablet -> Safety Shield	1				100					2	shld,mag,eth	sct						usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60	ethereal	100		1	1																																																																0
1 Magic Breast Plate + Saftey Crafting Tablet -> Safety Body	1				100					2	tors,mag,noe	sct						usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60																																																																0
1 Magic Breast Plate + Saftey Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Safety Body	1				100					4	tors,mag,noe	sct	r05	mls				usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Breast Plate + Saftey Crafting Tablet -> Safety Body	1				100					2	tors,mag,eth	sct						usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Amulet + Saftey Crafting Tablet -> Safety Amulet	1				100					2	amul,mag	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	block			10	10	ac%			10	20																																																																0
1 Magic Ring + Saftey Crafting Tablet -> Safety Ring	1				100					2	ring,mag	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	vit			5	10	ac%			10	20																																																																0
1 Magic Spear + Saftey Crafting Tablet -> Safety Weapon	1				100					2	weap,mag,noe	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50																																																																0
1 Magic Spear + Saftey Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Safety Weapon	1				100					4	weap,mag,noe	sct	r05	mls				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50	ethereal	100		1	1																																																											0
1 Magic Spear + Saftey Crafting Tablet -> Safety Weapon	1				100					2	weap,mag,eth	sct						usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50	ethereal	100		1	1																																																											0
																																																																																																									0
1 Magic Circlet + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1				100					4	circ,mag,noe	jew	r06	gpg																																																																																											0
1 Magic Circlet + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1				100					6	circ,mag,noe	jew	r06	gpg	r05	mls																																																																																									0
1 Magic Circlet + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1				100					4	circ,mag,eth	jew	r06	gpg																																																																																											0
1 Magic Circlet + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1				100					4	circ,mag,noe	jew	r04	gpv																																																																																											0
1 Magic Circlet + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1				100					6	circ,mag,noe	jew	r04	gpv	r05	mls																																																																																									0
1 Magic Circlet + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1				100					4	circ,mag,eth	jew	r04	gpv																																																																																											0
1 Magic Circlet + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1				100					4	circ,mag,noe	jew	r08	gpr																																																																																											0
1 Magic Circlet + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1				100					6	circ,mag,noe	jew	r08	gpr	r05	mls																																																																																									0
1 Magic Circlet + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1				100					4	circ,mag,eth	jew	r08	gpr																																																																																											0
1 Magic Circlet + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100					4	circ,mag,noe	jew	r06	gpb																																																																																											0
1 Magic Circlet+ 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100					6	circ,mag,noe	jew	r06	gpb	r05	mls																																																																																									0
1 Magic Circlet + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100					4	circ,mag,eth	jew	r06	gpb																																																																																											0
1 Magic Circlet + Saftey Crafting Tablet  ->  Safety Helm	1				100					2	circ,mag,noe	sct																																																																																													0
1 Magic Circlet + Saftey Crafting Tablet  -> Safety Helm	1				100					4	circ,mag,noe	sct	r05	mls																																																																																											0
1 Magic Circlet + Saftey Crafting Tablet  -> Safety Helm	1				100					2	circ,mag,eth	sct																																																																																													0
1 Magic Circlet + Caster Crafting Tablet  -> Caster Helm	1				100					2	circ,mag,noe	cct																																																																																													0
1 Magic Circlet + Caster  Crafting Tablet  -> Caster Helm	1				100					4	circ,mag,noe	cct	r05	mls																																																																																											0
1 Magic Circlet + Caster Crafting Tablet  -> Caster Helm	1				100					2	circ,mag,eth	cct																																																																																													0
1 Magic Circlet + Blood Crafting Tablet  -> Blood Helm	1				100					2	circ,mag,noe	bct																																																																																													0
1 Magic Circlet + Blood  Crafting Tablet  ->  Blood Helm	1				100					4	circ,mag,noe	bct	r05	mls																																																																																											0
1 Magic Circlet + Blood  Crafting Tablet  -> Blood Helm	1				100					2	circ,mag,eth	bct																																																																																													0
1 Magic Circlet + Hit Power Crafting Tablet  -> Hit Power Helm	1				100					2	circ,mag,noe	pct																																																																																													0
1 Magic Circlet + Hit Power Crafting Tablet  -> Hit Power Helm	1				100					4	circ,mag,noe	pct	r05	mls																																																																																											0
1 Magic Circlet + Hit Power Crafting Tablet  -> Hit Power Helm	1				100					2	circ,mag,eth	pct																																																																																													0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
SUP 1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1				100					4	tors,hiq,nos	r07	r10	gpy				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1				100					4	tors,nor,nos	r07	r10	gpy				useitem				sock			1	6																																																																															0
SUP 1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1				100					4	weap,hiq,nos	r08	r11	gpv				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1				100					4	weap,nor,nos	r08	r11	gpv				useitem				sock			1	6																																																																															0
SUP 1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1				100					4	helm,hiq,nos	r08	r10	gpb				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1				100					4	helm,nor,nos	r08	r10	gpb				useitem				sock			1	6																																																																															0
SUP 1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1				100					4	shld,hiq,nos	r07	r11	gpr				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1				100					4	shld,nor,nos	r07	r11	gpr				useitem				sock			1	6																																																																															0
1 Eld Rune + 1 Chipped Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	0				100					3	weap,low	r02	gem0					usetype,nor																																																																																							0
1 El Rune + 1 Chipped Gem (Any) + 1 Low Quality Armor -> Normal Armor	0				100					3	armo,low	r01	gem0					usetype,nor																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item	1				100					3	any,sock	r15	tsc					useitem,uns																																																																																							0
Charsi Hammer + Larzuk Hammer + 1 Normal Unique Weapon -> Exceptional Unique Weapon	1				100					3	weap,bas,uni	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer + 1 Normal Unique Armor -> Exceptional Unique Armor	1				100					3	armo,bas,uni	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer  + Standard of Heros + 1 Exceptional Unique Weapon -> Elite Unique Weapon	1				100					4	weap,exc,uni	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer  + Standard of Heros + 1 Exceptional Unique Armor -> Elite Unique Armor	1				100					4	armo,exc,uni	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer  + 1 Normal Rare Weapon -> Exceptional Rare Weapon	1				100					3	weap,bas,rar	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer  + 1 Normal Crafted Weapon -> Exceptional Crafted Weapon	1				100					3	weap,bas,crf	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer  + 1 Normal Rare Armor -> Exceptional Rare Armor	1				100					3	armo,bas,rar	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer  + 1 Normal Crafted Armor -> Exceptional Crafted Armor	1				100					3	armo,bas,crf	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer  + Standard of Heros + 1 Exceptional Rare Weapon -> Elite Rare Weapon	1				100					4	weap,exc,rar	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer  + Standard of Heros + 1 Exceptional Crafted Weapon -> Elite Crafted Weapon	1				100					4	weap,exc,crf	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer +  Standard of Heros + 1 Exceptional Rare Armor -> Elite Rare Armor	1				100					4	armo,exc,rar	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer  + Standard of Heros + 1 Exceptional Crafted Armor -> Elite Crafted Armor	1				100					4	armo,exc,crf	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer + 1 Normal Set Weapon -> Exceptional Set Weapon	1				100					3	weap,bas,set	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer + 1 Normal Set Armor -> Exceptional Set Armor	1				100					3	armo,bas,set	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer  +  Standard of Heros + 1 Exceptional Set Weapon -> Elite Set Weapon	1				100					4	weap,exc,set	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer  +  Standard of Heros + 1 Exceptional Set Armor -> Elite Set Armor	1				100					4	armo,exc,set	mls	lmr	std				useitem,mod,eli																																																																																							0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1				100					2	"weap,noe"	r09						"useitem,rep,rch,qty=500"																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1				100					2	"armo,noe"	r08						"useitem,rep,rch,qty=500"																																																																																							0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
																																																																																																									0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1				100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1				100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1				100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1				100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			1	6																																																																															0
1 Eld Rune + 1 Chipped Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	1				100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
1 El Rune + 1 Chipped Gem (Any) + 1 Low Quality Armor -> Normal Armor	1				100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Unique Weapon -> Exceptional Unique Weapon	1				100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Unique Armor -> Exceptional Unique Armor	1				100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	1				100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	1				100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Normal Rare Weapon -> Exceptional Rare Weapon	1				100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Normal Rare Armor -> Exceptional Rare Armor	1				100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	1				100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	1				100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1				100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1				100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
1 Ort Rune + 1 Chipped Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	1				100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
1 Ral Rune + 1 Flawed Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	1				100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
