code	*Id	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	uiRangeType	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
deadly/time	230	1	18	item_deadlystrike_bytime																												#% Deadly Strike (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
gems%/time	231																																				0
pierce-fire	232	1	1	passive_fire_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-ltng	233	1	1	passive_ltng_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
pierce-cold	234	1	1	passive_cold_pierce																												-#% to Enemy Cold Resistance		Min %	Max %		0
pierce-pois	235	1	1	passive_pois_pierce																												-#% to Enemy Poison Resistance		Min %	Max %		0
dmg-mon	236																																				0
dmg%-mon	237																																				0
att-mon	238																																				0
att%-mon	239																																				0
ac-mon	240																																				0
ac%-mon	241																																				0
indestruct	242	1	20																													Indestructible		1	1		0
charged	243	1	19	item_charged_skill																												Level # [Skill] (#/# Charges)	Skill	# of Max Charges	Skill Level		0
extra-fire	244	1	1	passive_fire_mastery																												+#% to Fire Skill Damage		Min %	Max %		0
extra-ltng	245	1	1	passive_ltng_mastery																												+#% to Lightning Skill Damage		Min %	Max %		0
extra-cold	246	1	1	passive_cold_mastery																												+#% to Cold Skill Damage		Min %	Max %		0
extra-pois	247	1	1	passive_pois_mastery																												+#% to Poison Skill Damage		Min %	Max %		0
dmg-elem	248	1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength				Adds #-# Fire/Lightning/Cold Damage		Min #	Max #		0
dmg-elem-min	249	1	1	firemindam			3	lightmindam			3	coldmindam																				+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
dmg-elem-max	250	1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength																+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
all-stats	251	1	1	strength			3	energy			3	dexterity			3	vitality																+# to all Attributes		Min #	Max #		0
addxp	252	1	1	item_addexperience																												+#% to Experience Gained		Min %	Max %		0
heal-kill	253	1	1	item_healafterkill																												+# Life after each Kill		Min #	Max #		0
cheap	254	1	1	item_reducedprices																												Reduces all Vendor Prices #%		Min %	Max %		0
rip	255	1	1	item_restinpeace																												Slain Monsters Rest in Peace		1	1		0
att-mon%	256	1	24	attack_vs_montype																												#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
dmg-mon%	257	1	24	damage_vs_montype																												#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
kill-skill	258	1	11	item_skillonkill																											6	#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
death-skill	259	1	11	item_skillondeath																											6	#% Chance to cast level # [Skill] when you Die	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
levelup-skill	260	1	11	item_skillonlevelup																											6	#% Chance to cast level # [Skill] when you Level-Up	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
skill-rand	261	1	12	item_singleskill																											2	+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID		0
fade	262	1	17	fade																														Min #	Max #	Visuals Only	0
levelreq	263	1	1	item_levelreq																												Required Level: #		Min #	Max #		0
ethereal	264	1	23																													Ethereal		1	1		0
oskill	265	1	22	item_nonclassskill																												+# to [Skill]	Skill	Min #	Max #		0
state	266	1	24	state																													State	1	1	Applies a State on the unit	0
randclassskill1	267	1	36	item_addclassskills		3																									3	+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
noconsume	268		1	item_noconsume																												+# to not Consume Quantity		Min %	Max %		0
pierce-immunity-cold	269	1	1	item_pierce_cold_immunity																												Monster Cold Immunity is Sundered		Min %	Max %		0
pierce-immunity-fire	270	1	1	item_pierce_fire_immunity																												Monster Fire Immunity is Sundered		Min %	Max %		0
pierce-immunity-light	271	1	1	item_pierce_light_immunity																												Monster Lightning Immunity is Sundered		Min %	Max %		0
pierce-immunity-poison	272	1	1	item_pierce_poison_immunity																												Monster Poison Immunity is Sundered		Min %	Max %		0
pierce-immunity-damage	273	1	1	item_pierce_damage_immunity																												Monster Physical Immunity is Sundered		Min %	Max %		0
pierce-immunity-magic	274	1	1	item_pierce_magic_immunity																												Monster Magic Immunity is Sundered		Min %	Max %		0
charge-noconsume	275	1	1	item_charge_noconsume																												+#% chance for finishing moves to not consume charges		Min %	Max %		0
war	276	1	21	item_addclassskills		7																										+# to Warlock Skill Levels		Min #	Max #		0
dmg-mag/lvl	277	1	17	item_magic_damagemax_perlevel																												+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
pierce-mag	278	1	1	passive_mag_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-dmg	279	1	1	passive_dmg_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
affix-rand	280	1	25																													Add random affix from property	Index of property to use	Min Value for affix	Max Value for affix		0
extra-skill-dmg%-rand	281	1	1	passive_fire_mastery			1	passive_ltng_mastery			1	passive_cold_mastery			1	passive_pois_mastery			1	passive_mag_mastery			7	dmg%								used to with affix-rand to roll a random stat					0
war-tab-rand	282	1	10	item_addskill_tab		21	10	item_addskill_tab		22	10	item_addskill_tab		23																							0
extra-mag	283	1	1	passive_mag_mastery																												+#% to Magic Skill Damage		Min %	Max %		0
res-curse	284	Curse Resist +#%	1	curse_resistance																														Min %	Max %		0
corruption1	285		1	corrupted																																	0
corruption2	286		1	corruptordesc																																	0
randclassskill2	287	+# to [Class] Skill Levels	36	item_addclassskills		2																												Min Class ID	Max Class ID	val1 = # of Skill levels	0
augmented1	288		1	augmented																																	0
dyewhite1	289		15	dyewhite																																	0
dyeblack1	290		15	dyeblack																																	0
dyecblue1	291		15	dyecblue																																	0
dyecred1	292		15	dyecred																																	0
dyelightgreen1	293		15	dyelightgreen																																	0
dyedarkyellow1	294		15	dyedarkyellow																																	0
dyelightpurple1	295		15	dyelightpurple																																	0
dyedarkpurple1	296		15	dyedarkpurple																																	0
dyeorange1	297		15	dyeorange																																	0
dyed1	298		15	dyed																														Min %	Max %		0
charge-noconsume	299	+#% chance for finishing moves to not consume charges	1	item_charge_noconsume																														Min Class ID	Max Class ID	val1 = # of Skill levels	0
randclassskill3	300	+# to [Class] Skill Levels	36	item_addclassskills		1																												Min #	Max #		0
coldskill	301	+# to Cold Skills	21	item_elemskill		4	3	item_elemskill_cold																										Min #	Max #		0
ltngskill	302	+# to Lightning Skills	21	item_elemskill		2	3	item_elemskill_lightning																										Min #	Max #		0
poisskill	303	+# to Poison Skills	21	item_elemskill		5	3	item_elemskill_poison																										Min #	Max #		0
magskill	304	+# to Magic Skills	21	item_elemskill		3	3	item_elemskill_magic																										Min #	Max #		0
hit-skill-splash	305	#% Chance to cast level # [Skill] on striking	11	hit_skill_splash																													Skill	Min %	Max %		0
str%	306	+#% Strength	1	item_str_percent																														Min %	Max %		0
dex%	307	+#% Dexterity	1	item_dex_percent																														Min %	Max %		0
vit%	308	+#% Vitality	1	item_vit_percent																														Min %	Max %		0
enr%	309	+#% Energy	1	item_enr_percent																														100	1		0
splash	310	splash	11	item_splashonhit																													proc_SplashDamage				0
